,title,dist1_titles
12161313,Category:Lists of fishes,
4699587,Fish,"['stout infantfish', 'respiration (physiology)', 'Jesus', 'Saccopharyngiformes', 'Pteraspidomorphi', 'crocodile', 'seminiferous tubule', 'species', 'Lek (mating arena)', 'Chondrichthyes', 'jaw', 'mammal', 'aquatic animal', 'Fishing', 'Balitoridae', 'sea lamprey', 'Vishnu', 'Ika-Roa', 'cuttlefish', 'crayfish', 'Hyperoartia', 'adaptation', 'catfish', 'retina', 'bullhead shark', 'river basin', 'freshwater', 'Neotropical fish', 'Chondrostean', 'pallid sturgeon', 'coral reef', 'Lungfish', 'Piranha (1978 film)', 'Ichthyology', 'Thriller (genre)', 'osmoregulation', 'arthropod', 'Limb (anatomy)', 'homeostasis', 'wikt:typology', 'tilapia', 'lateral line', 'Pacific sardine', 'Dagon', 'ovoviviparous', 'ovum', 'paraphyly', ""mermaids' purse"", 'Cantão State Park', 'Guppy', 'fishing line', 'polarized light', 'Cartilaginous fish', 'gourami', 'pathogen', 'The Guardian', 'labyrinth (organ)', 'clasper', 'Book of Jonah', 'Mormyridae', 'feeding the multitude', 'ammonia', 'Aquaculture', 'San Francisco', 'wiktionary:atherinomorph', 'notochord', 'Labridae', 'sensory system', 'Midbrain', 'jawless fish', 'midbrain', 'ovary', 'Elasmobranchii', 'viviparous', 'Indian Ocean', 'Asian carp', 'lemon shark', 'buccal cavity', 'bird vision', 'Neil Shubin', 'Aquarium', 'Sarcopterygii', 'Lissamphibia', 'The Old Man and the Sea', 'telencephalon', 'spleen', 'osmosis', 'WP:RSECT', 'Gymnotiformes', 'zebrafish', 'Streamlines, streaklines and pathlines', 'mackerel', 'Teleostei', 'cetacean', 'freshwater fish', 'Holocephali', 'Fish acute toxicity syndrome', 'gar', 'cleaner fish', 'Actinopterygii', 'Piscis Austrinus', 'cycloid', 'Joseph S. Nelson', 'Mudskipper', 'koi herpes virus', 'venom', 'Loricariidae', 'abyssal zone', 'mermaid', 'hamlet (fish)', 'pufferfish', ""Leydig's organ"", 'Conodont', 'Galeaspida', 'paraphyletic', 'Indo-Pacific', 'bulbus arteriosus', 'oophagy', 'cichlid', 'olfaction', 'Annual Review of Fish Diseases', 'Paleozoic', 'capillary', 'Current Biology', 'Craniata', 'metamorphosis', 'aquaculture', 'Cyclostomata', 'Hawaii', 'Marine vertebrates', 'swim bladder', 'Scombroidei', 'Fish', 'Fish farm', 'National Geographic Society', 'Chordate', 'developing nation', 'Neotropic', 'Vertebral column', 'Finfish', 'Osteostraci', 'meninges', 'Cladistics', 'lamprey', 'Thelodonti', 'class (biology)', 'FAO', 'Ventricle (heart)', 'extant taxon', 'Pinniped', 'chimaera', 'Skate (fish)', 'hagfish', 'BBC News', 'Finding Nemo', 'Pregnancy (fish)', 'Tuna', 'red lionfish', 'fin', 'metencephalon', 'Intestine', 'Pacific Ocean', 'African lungfish', 'circulatory system', 'American English', 'Mercury in fish', 'Scorpaenidae', 'John Wiley & Sons', 'Hearing (sense)', 'Cell nucleus', 'plasma cells', 'tetrapod', 'Alfred Romer', 'bichir', 'Blackwell Publishing', 'bird', 'lungfish', 'Amazon Basin', 'countercurrent exchange', 'swordfish', 'systematics', 'diffusion', 'Fish anatomy', 'ectotherm', 'adaptive immune system', 'rainbow trout', 'Deep sea fish', 'Fin-fish', 'Phreatobius', 'surface area', 'Gnathostomata', 'esophagus', 'Lumen (anatomy)', 'red-bellied piranha', 'salmon', 'thresher sharks', 'Cichlidae', 'Actinistia', 'Cyprinidae', 'Acipenseriformes', 'Batrachoididae', 'gamete', 'Scoloplacidae', 'microorganism', 'Dharma (Buddhism)', 'digestion', 'bait (luring substance)', 'anguillidae', 'great white shark', 'Walking fish', 'underground river', 'macrophage', 'Corydoras', 'cave art', 'thymus', 'Intrauterine cannibalism', 'follicular atresia', 'RSPCA', 'bone marrow', 'mouth', 'Shark Tale', 'electric eel', 'sinus venosus', 'pelvic', 'eyespot (mimicry)', 'otolith', 'monophyletic', 'Roe', 'Endemism', 'amniote', 'Australian lungfish', 'white blood cells', 'phylogenetic', 'Holostei', 'zooplankton', 'fishing', 'tuna', 'British English', 'Shoaling and schooling', 'immune response', 'Salvelinus', 'mollusk', 'pancreas', 'Hypostomus plecostomus', 'inflammation', 'Aquatic animal', 'Conodonta', 'seahorse', 'Pituriaspida', 'mudskipper', 'Nile perch', 'lymphoid tissue', 'Guadalupe Island', 'heart', 'gigantothermy', 'perch', 'Fish as food', 'Amphibious fish', 'horn shark', 'Ichthyoplankton', 'eel', 'gill', 'Agnatha', 'Ostracodermi', 'coelacanth', 'Bluestreak cleaner wrasse', 'protein', 'paddlefish', 'hermaphrodite', 'Coelacanth', 'whale', 'Mollusca', 'Acanthodii', 'Population dynamics of fisheries', 'Smh.com.au', 'whale shark', 'kidney', 'spherical', 'white shark', 'commercial fishing', 'Tetrapod', 'Ostium of Fallopian tube', 'Stomach', 'water pollution', 'Vulnerable species', 'shortfin mako', 'invasive species', 'Fish (disambiguation)', 'vision in fishes', 'T cell receptor', 'Pisces (astrology)', 'diencephalon', 'Forage fish', 'Jaws (film)', 'Brown trout', 'Callichthyidae', 'carbon dioxide', 'Christianity Today', 'olfactory nerve', 'Lake Victoria', 'tropical rainforest', 'liver', 'oviduct', 'Temple Grandin', 'fish (food)', 'Ichthyology terms', 'ornamental fish', 'ectothermic', 'University of Wyoming', 'endocrine', 'ultraviolet', 'Fish (food)', 'filter (chemistry)', 'circadian', 'amphibian', 'hemopoietic', 'Seafood', 'seaweed', 'aestivation', 'pyloric caeca', 'enzyme', 'Jonah', 'wild fisheries', 'gulper', 'porbeagle shark', 'ctenoid', 'Mekong', 'Embiotocidae', 'goldfish', 'Serranidae', 'coelom', 'monotypic', 'Portable Document Format', 'fisheries science', 'teleost', 'craniate', 'Cephalaspidomorphi', 'lens (anatomy)', 'tunicate', 'deity', 'Neopterygii', 'sea squirt', 'fishing industry', 'shark', 'furunculosis', 'vertebrate', 'Anatomical terms of location', 'hippopotamus', 'aquifer', 'macrophages', 'Anaspida', 'crustacean', 'Placodermi', 'IUCN Red List', 'reedfish', 'Batoidea', 'last common ancestor', 'moray eel', 'Animal', 'pond', 'Alopiidae', 'fishing rod', 'anchovy', 'reptile', 'electric fish', 'teleostei', 'Fishkeeping', 'suffering', 'chordate', 'mormyrid', 'myelencephalon', 'gudgeon (fish)', 'Goodeidae', 'prehistoric fish', 'hormone', 'pain', 'aorta', 'Silurian', 'oocyte', 'cone cell', 'Lamnidae', 'testicle', 'Cypriniformes', 'sturgeon', 'rod cell', 'deep sea fish', 'fishing reel', 'cavefish', 'Protein filament', 'Catch and release', 'reticular cell', 'apoptosis', 'Pisces (constellation)', 'immunoglobulin', 'placenta', 'herring', 'True fish', 'Semitic people', 'Ovarian follicle', 'olfactory bulb', 'ganoid', 'nervous system', 'Food and Agriculture Organization of the United Nations', 'clade', 'cod', 'Cambrian', 'erythrocytes', 'porbeagle', 'antigen', 'Osteichthyes', 'Scale (zoology)', 'fish hook', 'Matthew 4:19', 'Warm-blooded', 'Prophet', 'bluefin tuna', 'Fish intelligence', 'Horn shark', 'jellyfish', 'Otolith', 'FishBase', 'Gar', 'California', 'starfish', 'Cyprinodon diabolis', 'Matsya', 'camouflage', 'bowfin', 'grey nurse shark', 'China', 'pronephros', 'vaccine', 'labyrinth organ', 'neocortex', 'The Washington Post', 'brown trout', 'Marine biology', 'Placoid scale', 'Atrium (heart)', 'Christianity', 'Pacific hagfish', 'Recreational fishing', 'core temperature', 'Liver', 'underground lake', 'Characidae', ""Devil's Hole pupfish"", 'Erythrinidae', 'Gobiidae', 'catshark', 'photopic vision', 'Fish development', 'acetic acid', 'flounder', 'pineal body', 'Jaws (novel)', 'Clariidae', 'Buddhism', 'operculum (fish)', 'astrology', 'oxygen', 'Fish stock', 'lymph', 'Bee', 'leaf litter', 'spermatogonia', 'Polypteriformes', 'gospel', 'livebearer', 'Chordata', 'California sheephead', 'phylogenetic nomenclature', 'billfish', 'Gadus morhua', 'International Union for Conservation of Nature', 'Neoteny', 'Fishes of the World', 'placodermi', 'Coral reef', 'placental mammals', 'Oogonia', 'angel shark', 'yolk', 'Ampullae of Lorenzini', 'shellfish', 'Snakehead Terror', 'vein', 'marsupial', 'cerebrum', 'Channidae', 'Tetrapoda', 'cast net', 'University of Edinburgh', 'synonym', 'Polynesians', 'Carangidae', 'Carp', 'undescribed species', 'lateral line system', 'nostril', 'fishery', 'Luciocephalidae', 'T cell', 'Copeia', 'lymphocyte', 'koi', 'Congo Basin', 'Hans Christian Andersen', 'colour vision', 'Chondrostei', 'terrestrial animal', 'Horror film', 'Angling', 'betta', 'spiral valve', 'granulocytes', 'bony fish', 'taxon', 'Giant grouper', 'aquarium', 'scale (zoology)', 'halfbeak', 'oviparous', 'yolk sac', 'Outline of sharks', 'spermatogenesis', 'pharynx', 'Snakehead (fish)', 'Visual system', 'salmonid', 'scotopic vision', 'anglerfish', 'Digit (anatomy)', 'Gas bladder', 'Epidermis (skin)', 'ostracoderm', 'hadal zone']"
1834140,Category:Fish stubs,['fish']
11037163,Category:Fish health,
7998150,Category:Fish anatomy,
22613851,Category:Fish common names,"['Wikipedia:Category', 'vernacular']"
34416218,Category:Fish conservation,
37932891,Category:Fish physiology,
44205344,Category:Fish reproduction,
48543405,Category:Fish by habitat,
