,url,title,other titles,other urls,scores
1467938,https://en.wikipedia.org/wiki/Kennel,Kennel,"['Pet Fed India', 'Dog food', 'Cropping (animal)', 'Kitten', 'Lychee and Dog Meat Festival']","['https://en.wikipedia.org/wiki/Pet_Fed_India', 'https://en.wikipedia.org/wiki/Dog_food', 'https://en.wikipedia.org/wiki/Cropping_(animal)', 'https://en.wikipedia.org/wiki/Kitten', 'https://en.wikipedia.org/wiki/Lychee_and_Dog_Meat_Festival']","[0.99, 0.33, 0.33, 0.33, 0.33]"
275388,https://en.wikipedia.org/wiki/Cynology,Cynology,"['Dog Parker', 'Big Miracle (book)', 'Indian National Kennel Club', 'Walter the Farting Dog', 'Dogs in the American Revolutionary War']","['https://en.wikipedia.org/wiki/Dog_Parker', 'https://en.wikipedia.org/wiki/Big_Miracle_(book)', 'https://en.wikipedia.org/wiki/Indian_National_Kennel_Club', 'https://en.wikipedia.org/wiki/Walter_the_Farting_Dog', 'https://en.wikipedia.org/wiki/Dogs_in_the_American_Revolutionary_War']","[0.95, 0.95, 0.95, 0.95, 0.95]"
2352562,https://en.wikipedia.org/wiki/Pack_(canine),Pack (canine),"['Dog', 'Service dog', 'Cat senses', 'Dogs in religion', 'Cynophobia']","['https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Service_dog', 'https://en.wikipedia.org/wiki/Cat_senses', 'https://en.wikipedia.org/wiki/Dogs_in_religion', 'https://en.wikipedia.org/wiki/Cynophobia']","[1.0, 0.99, 0.98, 0.98, 0.98]"
17021807,https://en.wikipedia.org/wiki/Rare_breed_(dog),Rare breed (dog),[],[],[]
20777185,https://en.wikipedia.org/wiki/Dogs_in_ancient_China,Dogs in ancient China,"['Becerrillo', 'Puppy', 'Body language of dogs', 'Dogs in religion', 'Tail wagging by dogs']","['https://en.wikipedia.org/wiki/Becerrillo', 'https://en.wikipedia.org/wiki/Puppy', 'https://en.wikipedia.org/wiki/Body_language_of_dogs', 'https://en.wikipedia.org/wiki/Dogs_in_religion', 'https://en.wikipedia.org/wiki/Tail_wagging_by_dogs']","[0.83, 0.8, 0.61, 0.6, 0.6]"
4020758,https://en.wikipedia.org/wiki/Dog_biscuit,Dog biscuit,"['Kitten', 'Lychee and Dog Meat Festival', 'Cropping (animal)', 'Dog food', 'Cat meat']","['https://en.wikipedia.org/wiki/Kitten', 'https://en.wikipedia.org/wiki/Lychee_and_Dog_Meat_Festival', 'https://en.wikipedia.org/wiki/Cropping_(animal)', 'https://en.wikipedia.org/wiki/Dog_food', 'https://en.wikipedia.org/wiki/Cat_meat']","[0.99, 0.99, 0.99, 0.99, 0.99]"
17430047,https://en.wikipedia.org/wiki/Breed_type_(dog),Breed type (dog),"['Therapy cat', 'Human interaction with cats', 'Whale', 'Cat', 'Dog World (newspaper)']","['https://en.wikipedia.org/wiki/Therapy_cat', 'https://en.wikipedia.org/wiki/Human_interaction_with_cats', 'https://en.wikipedia.org/wiki/Whale', 'https://en.wikipedia.org/wiki/Cat', 'https://en.wikipedia.org/wiki/Dog_World_(newspaper)']","[0.92, 0.91, 0.91, 0.9, 0.9]"
2676271,https://en.wikipedia.org/wiki/Canid_hybrid,Canid hybrid,"['Canine reproduction', 'Dog World (newspaper)', 'Cat predation on wildlife', 'Pack (canine)', 'Cat senses']","['https://en.wikipedia.org/wiki/Canine_reproduction', 'https://en.wikipedia.org/wiki/Dog_World_(newspaper)', 'https://en.wikipedia.org/wiki/Cat_predation_on_wildlife', 'https://en.wikipedia.org/wiki/Pack_(canine)', 'https://en.wikipedia.org/wiki/Cat_senses']","[1.0, 0.99, 0.96, 0.96, 0.96]"
22044074,https://en.wikipedia.org/wiki/Canine_physical_therapy,Canine physical therapy,"['Cat gap', 'Dog food', 'Cropping (animal)', 'Kitten', 'Lychee and Dog Meat Festival']","['https://en.wikipedia.org/wiki/Cat_gap', 'https://en.wikipedia.org/wiki/Dog_food', 'https://en.wikipedia.org/wiki/Cropping_(animal)', 'https://en.wikipedia.org/wiki/Kitten', 'https://en.wikipedia.org/wiki/Lychee_and_Dog_Meat_Festival']","[0.91, 0.82, 0.82, 0.82, 0.82]"
19282291,https://en.wikipedia.org/wiki/Dogs_in_Mesoamerica,Dogs in Mesoamerica,['Becerrillo'],['https://en.wikipedia.org/wiki/Becerrillo'],[0.09]
23416702,https://en.wikipedia.org/wiki/Interbreeding_of_dingoes_with_other_domestic_dogs,Interbreeding of dingoes with other domestic dogs,"['Canid hybrid', 'Canine reproduction', 'Dog World (newspaper)', 'Pack (canine)', 'Cat predation on wildlife']","['https://en.wikipedia.org/wiki/Canid_hybrid', 'https://en.wikipedia.org/wiki/Canine_reproduction', 'https://en.wikipedia.org/wiki/Dog_World_(newspaper)', 'https://en.wikipedia.org/wiki/Pack_(canine)', 'https://en.wikipedia.org/wiki/Cat_predation_on_wildlife']","[0.7, 0.68, 0.68, 0.67, 0.67]"
5740890,https://en.wikipedia.org/wiki/Canine_reproduction,Canine reproduction,"['Dog World (newspaper)', 'Canid hybrid', 'Cat predation on wildlife', 'Pack (canine)', 'Cat senses']","['https://en.wikipedia.org/wiki/Dog_World_(newspaper)', 'https://en.wikipedia.org/wiki/Canid_hybrid', 'https://en.wikipedia.org/wiki/Cat_predation_on_wildlife', 'https://en.wikipedia.org/wiki/Pack_(canine)', 'https://en.wikipedia.org/wiki/Cat_senses']","[1.0, 1.0, 0.94, 0.93, 0.93]"
31752133,https://en.wikipedia.org/wiki/PDSA_Certificate_for_Animal_Bravery_or_Devotion,PDSA Certificate for Animal Bravery or Devotion,"['Cat bite', 'Tail wagging by dogs', 'Dog bite prevention', 'Origin of the domestic dog', 'The Dog Pillow']","['https://en.wikipedia.org/wiki/Cat_bite', 'https://en.wikipedia.org/wiki/Tail_wagging_by_dogs', 'https://en.wikipedia.org/wiki/Dog_bite_prevention', 'https://en.wikipedia.org/wiki/Origin_of_the_domestic_dog', 'https://en.wikipedia.org/wiki/The_Dog_Pillow']","[1.0, 1.0, 1.0, 1.0, 1.0]"
