,url,title,other titles,other urls,scores
1467938,https://en.wikipedia.org/wiki/Kennel,Kennel,"['Cattery', 'Indian National Kennel Club', 'Breed type (dog)', 'Dog World (newspaper)', 'Lists of dogs']","['https://en.wikipedia.org/wiki/Cattery', 'https://en.wikipedia.org/wiki/Indian_National_Kennel_Club', 'https://en.wikipedia.org/wiki/Breed_type_(dog)', 'https://en.wikipedia.org/wiki/Dog_World_(newspaper)', 'https://en.wikipedia.org/wiki/Lists_of_dogs']","[0.34, 0.3, 0.19, 0.15, 0.14]"
275388,https://en.wikipedia.org/wiki/Cynology,Cynology,"['Dog', 'Breed type (dog)', 'Dog World (newspaper)', 'Cat training', 'Dog bite']","['https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Breed_type_(dog)', 'https://en.wikipedia.org/wiki/Dog_World_(newspaper)', 'https://en.wikipedia.org/wiki/Cat_training', 'https://en.wikipedia.org/wiki/Dog_bite']","[0.17, 0.15, 0.12, 0.12, 0.12]"
2352562,https://en.wikipedia.org/wiki/Pack_(canine),Pack (canine),"['Canid hybrid', 'Dog', 'Origin of the domestic dog', 'Canine reproduction', 'Dog bite']","['https://en.wikipedia.org/wiki/Canid_hybrid', 'https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Origin_of_the_domestic_dog', 'https://en.wikipedia.org/wiki/Canine_reproduction', 'https://en.wikipedia.org/wiki/Dog_bite']","[0.28, 0.24, 0.23, 0.16, 0.1]"
17021807,https://en.wikipedia.org/wiki/Rare_breed_(dog),Rare breed (dog),"['Breed type (dog)', 'Lists of dogs', 'Dog', 'Dog bite', 'Origin of the domestic dog']","['https://en.wikipedia.org/wiki/Breed_type_(dog)', 'https://en.wikipedia.org/wiki/Lists_of_dogs', 'https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Dog_bite', 'https://en.wikipedia.org/wiki/Origin_of_the_domestic_dog']","[0.37, 0.21, 0.19, 0.17, 0.13]"
20777185,https://en.wikipedia.org/wiki/Dogs_in_ancient_China,Dogs in ancient China,"['Dog', 'Dogs in Mesoamerica', 'Origin of the domestic dog', 'Dog meat', 'Dogs in religion']","['https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Dogs_in_Mesoamerica', 'https://en.wikipedia.org/wiki/Origin_of_the_domestic_dog', 'https://en.wikipedia.org/wiki/Dog_meat', 'https://en.wikipedia.org/wiki/Dogs_in_religion']","[0.24, 0.24, 0.22, 0.21, 0.2]"
4020758,https://en.wikipedia.org/wiki/Dog_biscuit,Dog biscuit,"['Dog food', 'Dog meat', 'Dog daycare', 'Cat meat', 'Dog']","['https://en.wikipedia.org/wiki/Dog_food', 'https://en.wikipedia.org/wiki/Dog_meat', 'https://en.wikipedia.org/wiki/Dog_daycare', 'https://en.wikipedia.org/wiki/Cat_meat', 'https://en.wikipedia.org/wiki/Dog']","[0.25, 0.16, 0.14, 0.12, 0.11]"
17430047,https://en.wikipedia.org/wiki/Breed_type_(dog),Breed type (dog),"['Rare breed (dog)', 'Dog World (newspaper)', 'Indian National Kennel Club', 'Dog', 'Lists of dogs']","['https://en.wikipedia.org/wiki/Rare_breed_(dog)', 'https://en.wikipedia.org/wiki/Dog_World_(newspaper)', 'https://en.wikipedia.org/wiki/Indian_National_Kennel_Club', 'https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Lists_of_dogs']","[0.37, 0.22, 0.22, 0.2, 0.19]"
2676271,https://en.wikipedia.org/wiki/Canid_hybrid,Canid hybrid,"['Origin of the domestic dog', 'Dog', 'Interbreeding of dingoes with other domestic dogs', 'Pack (canine)', 'Canine reproduction']","['https://en.wikipedia.org/wiki/Origin_of_the_domestic_dog', 'https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Interbreeding_of_dingoes_with_other_domestic_dogs', 'https://en.wikipedia.org/wiki/Pack_(canine)', 'https://en.wikipedia.org/wiki/Canine_reproduction']","[0.41, 0.37, 0.36, 0.28, 0.16]"
22044074,https://en.wikipedia.org/wiki/Canine_physical_therapy,Canine physical therapy,"['Therapy cat', 'Cynophobia', 'Human–canine bond', 'Cat anatomy', 'Dog']","['https://en.wikipedia.org/wiki/Therapy_cat', 'https://en.wikipedia.org/wiki/Cynophobia', 'https://en.wikipedia.org/wiki/Human–canine_bond', 'https://en.wikipedia.org/wiki/Cat_anatomy', 'https://en.wikipedia.org/wiki/Dog']","[0.3, 0.16, 0.13, 0.09, 0.08]"
19282291,https://en.wikipedia.org/wiki/Dogs_in_Mesoamerica,Dogs in Mesoamerica,"['Dogs in ancient China', 'Dog', 'Dogs in religion', 'Dog meat', 'Origin of the domestic dog']","['https://en.wikipedia.org/wiki/Dogs_in_ancient_China', 'https://en.wikipedia.org/wiki/Dog', 'https://en.wikipedia.org/wiki/Dogs_in_religion', 'https://en.wikipedia.org/wiki/Dog_meat', 'https://en.wikipedia.org/wiki/Origin_of_the_domestic_dog']","[0.24, 0.22, 0.2, 0.18, 0.16]"
