,similar_articles,scores
1467938,"[54435831, 236573, 33069847, 66365, 47048387, 4020758, 5625640, 3279728, 44137874, 52014686, 51676708, 50714180, 10579085, 37049778, 53720250, 4678428, 33777, 6678, 36205810, 23875703, 275388, 1846593, 3474408, 46263132, 17430047, 8727319, 22044074, 737610, 20355828, 851060, 22345050, 5740890, 2676271, 895672, 113180, 43590845, 49538597, 49876887, 45049201, 8526165, 2352562, 23416702, 1519473, 536789, 4269567, 9369613, 76940, 4699587, 44444481, 53984662, 17862013, 1419205, 31804256, 5141410, 53874996, 31752133, 53920285, 3304092, 54329819, 53903332, 31903693, 5205615, 11503984, 38928070, 52390011, 49735416, 20777185, 755842, 178449, 22078621, 8886648, 583254, 37042447, 42497710, 24243398, 51058554, 24727796, 300591, 47079044, 19600264, 1136673, 52243894]","[0.99430513381958008, 0.33144289255142212, 0.33101314306259155, 0.33046534657478333, 0.32762956619262695, 0.3261396586894989, 0.32602030038833618, 0.32583525776863098, 0.32468494772911072, 0.32468494772911072, 0.32468494772911072, 0.32468494772911072, 0.32468494772911072, 0.32468494772911072, 0.3240191638469696, 0.31859982013702393, 0.31772527098655701, 0.31345373392105103, 0.31265836954116821, 0.31233227252960205, 0.30884665250778198, 0.30579453706741333, 0.29290786385536194, 0.28515535593032837, 0.28140503168106079, 0.27918773889541626, 0.27408906817436218, 0.27256020903587341, 0.27010428905487061, 0.25670674443244934, 0.25592023134231567, 0.25245293974876404, 0.23264437913894653, 0.19983810186386108, 0.19905635714530945, 0.1871533989906311, 0.18626347184181213, 0.16990457475185394, 0.16739176213741302, 0.1653435230255127, 0.15660578012466431, 0.15104779601097107, 0.13176968693733215, 0.13081932067871094, 0.12926885485649109, 0.11960668116807938, 0.10521750897169113, 0.10154381394386292, 0.099863961338996887, 0.094655729830265045, 0.094227872788906097, 0.08584306389093399, 0.077509351074695587, 0.077509351074695587, 0.077509351074695587, 0.077509351074695587, 0.077509351074695587, 0.077509351074695587, 0.077509351074695587, 0.075473912060260773, 0.074518226087093353, 0.074361547827720642, 0.06815744936466217, 0.067049965262413025, 0.061628885567188263, 0.056260686367750168, 0.053680174052715302, 0.051724757999181747, 0.050851162523031235, 0.047166593372821808, 0.045264542102813721, 0.036348193883895874, 0.035120785236358643, 0.032458700239658356, 0.02918582409620285, 0.02770625613629818, 0.019454695284366608, 0.014800357632339001, 0.0063689658418297768, 0.0024476377293467522, 0.0015680538490414619, 0.0012557858135551214]"
275388,"[50714180, 44137874, 51676708, 10579085, 52014686, 37049778, 3279728, 5625640, 47048387, 53720250, 66365, 33069847, 236573, 4020758, 23875703, 1846593, 46263132, 33777, 4678428, 8727319, 6678, 36205810, 737610, 22044074, 3474408, 851060, 17430047, 20355828, 113180, 22345050, 5740890, 49876887, 45049201, 2676271, 895672, 536789, 43590845, 1519473, 49538597, 1467938, 23416702, 54435831, 8526165, 44444481, 2352562, 4699587, 4269567, 9369613, 178449, 1419205, 76940, 583254, 42497710, 53903332, 53984662, 755842, 20777185, 17862013, 24727796, 300591, 11503984]","[0.95121949911117554, 0.95121949911117554, 0.95121949911117554, 0.95121949911117554, 0.95121949911117554, 0.95121949911117554, 0.9511076807975769, 0.95106709003448486, 0.95011913776397705, 0.94926899671554565, 0.9471360445022583, 0.94599723815917969, 0.94491285085678101, 0.94014406204223633, 0.91503024101257324, 0.83669179677963257, 0.83541089296340942, 0.82234376668930054, 0.81938928365707397, 0.81143063306808472, 0.80743175745010376, 0.80041271448135376, 0.79851126670837402, 0.77414798736572266, 0.75930064916610718, 0.71190565824508667, 0.69384217262268066, 0.67358642816543579, 0.57587945461273193, 0.56752938032150269, 0.55522370338439941, 0.49776419997215271, 0.49040248990058899, 0.48651129007339478, 0.48104205727577209, 0.36822214722633362, 0.35906785726547241, 0.35591298341751099, 0.33986249566078186, 0.30884665250778198, 0.30432975292205811, 0.30096599459648132, 0.27025148272514343, 0.26635175943374634, 0.23901158571243286, 0.22207836806774139, 0.15465982258319855, 0.12889595329761505, 0.12866717576980591, 0.121613509953022, 0.082021497189998627, 0.078160345554351807, 0.073831386864185333, 0.070238098502159119, 0.06286776065826416, 0.061449237167835236, 0.05415770411491394, 0.049284741282463074, 0.047539327293634415, 0.028975153341889381, 0.022400422021746635]"
2352562,"[4269567, 76940, 8526165, 17862013, 9369613, 53874996, 31752133, 5141410, 53920285, 3304092, 54329819, 31804256, 49538597, 2676271, 53903332, 5740890, 53984662, 31903693, 5205615, 22345050, 43590845, 38928070, 52390011, 11503984, 17430047, 36205810, 4678428, 6678, 20355828, 33777, 23416702, 3474408, 20777185, 1419205, 895672, 1846593, 4699587, 24243398, 236573, 851060, 33069847, 51058554, 66365, 22044074, 4020758, 47048387, 5625640, 755842, 3279728, 51676708, 50714180, 10579085, 44137874, 52014686, 37049778, 53720250, 8727319, 23875703, 275388, 1519473, 46263132, 737610, 113180, 44444481, 1467938, 583254, 49876887, 45049201, 178449, 536789, 47079044, 54435831, 42497710, 300591, 22078621, 24727796, 19600264, 1136673, 52243894]","[0.99589186906814575, 0.98597866296768188, 0.98420637845993042, 0.97963613271713257, 0.97824615240097046, 0.96791738271713257, 0.96791738271713257, 0.96791738271713257, 0.96791738271713257, 0.96791738271713257, 0.96791738271713257, 0.96791738271713257, 0.96711981296539307, 0.95995867252349854, 0.94249933958053589, 0.93258631229400635, 0.93066930770874023, 0.93056493997573853, 0.92860841751098633, 0.92668235301971436, 0.90144306421279907, 0.83730316162109375, 0.76960611343383789, 0.76156824827194214, 0.73988670110702515, 0.7040630578994751, 0.70238333940505981, 0.68593078851699829, 0.67975527048110962, 0.67964905500411987, 0.66942775249481201, 0.62180447578430176, 0.5862610936164856, 0.58573234081268311, 0.57215005159378052, 0.47329244017601013, 0.38010495901107788, 0.36446526646614075, 0.36087620258331299, 0.35923600196838379, 0.35117390751838684, 0.34598881006240845, 0.33977991342544556, 0.32743501663208008, 0.31371819972991943, 0.29243993759155273, 0.26855352520942688, 0.26791170239448547, 0.26608049869537354, 0.25126859545707703, 0.25126859545707703, 0.25126859545707703, 0.25126859545707703, 0.25126859545707703, 0.25126859545707703, 0.25075337290763855, 0.24203677475452423, 0.24170905351638794, 0.23901158571243286, 0.22243939340114594, 0.22067727148532867, 0.21093007922172546, 0.18319392204284668, 0.18210656940937042, 0.15660578012466431, 0.14139410853385925, 0.13148649036884308, 0.12954185903072357, 0.12055917829275131, 0.097267419099807739, 0.079534053802490234, 0.079501420259475708, 0.078917317092418671, 0.068970128893852234, 0.065958529710769653, 0.052866123616695404, 0.030565487220883369, 0.019581463187932968, 0.015681939199566841]"
17021807,[],[]
20777185,"[44444481, 5205615, 53903332, 17862013, 53920285, 54329819, 53874996, 5141410, 31804256, 31752133, 3304092, 76940, 4269567, 9369613, 2352562, 31903693, 8526165, 53984662, 49538597, 2676271, 38928070, 43590845, 5740890, 22345050, 52390011, 11503984, 23416702, 17430047, 1419205, 20355828, 36205810, 4678428, 6678, 33777, 1846593, 895672, 3474408, 11159584, 24243398, 51058554, 4699587, 755842, 851060, 22044074, 236573, 1519473, 33069847, 66365, 583254, 4020758, 178449, 275388, 1467938, 47079044, 47048387, 22078621, 300591, 42497710, 8727319, 5625640, 113180, 3279728, 24727796, 37049778, 44137874, 52014686, 51676708, 50714180, 10579085, 53720250, 23875703, 46263132, 19600264, 737610, 1136673, 49876887, 45049201, 52243894, 536789, 54435831]","[0.82681477069854736, 0.79914122819900513, 0.60864567756652832, 0.60029387474060059, 0.59995418787002563, 0.59995418787002563, 0.59995418787002563, 0.59995418787002563, 0.59995418787002563, 0.59995418787002563, 0.59995418787002563, 0.59962594509124756, 0.59556549787521362, 0.58824753761291504, 0.5862610936164856, 0.576801598072052, 0.57208263874053955, 0.56803387403488159, 0.55171197652816772, 0.52667027711868286, 0.51899427175521851, 0.5083046555519104, 0.50005018711090088, 0.49466189742088318, 0.477032870054245, 0.46890357136726379, 0.37218248844146729, 0.36113250255584717, 0.34597483277320862, 0.3267064094543457, 0.32395529747009277, 0.3202480673789978, 0.31173005700111389, 0.30574139952659607, 0.29221153259277344, 0.28705921769142151, 0.27874401211738586, 0.26119768619537354, 0.22591026127338409, 0.21445779502391815, 0.20440420508384705, 0.15742935240268707, 0.12265210598707199, 0.094196021556854248, 0.090933173894882202, 0.087874069809913635, 0.084766946732997894, 0.077544495463371277, 0.076660886406898499, 0.062372729182243347, 0.056650765240192413, 0.05415770411491394, 0.053680174052715302, 0.049298413097858429, 0.047782186418771744, 0.040883753448724747, 0.038679692894220352, 0.038543436676263809, 0.036024861037731171, 0.032843243330717087, 0.032644674181938171, 0.031304657459259033, 0.02608967199921608, 0.022107934579253197, 0.022107934579253197, 0.022107934579253197, 0.022107934579253197, 0.022107934579253197, 0.022107934579253197, 0.022062601521611214, 0.021266836673021317, 0.01941634900867939, 0.018945720046758652, 0.018558738753199577, 0.012137379497289658, 0.01156887412071228, 0.011397775262594223, 0.0097202975302934647, 0.008558100089430809, 0.006994953379034996]"
4020758,"[66365, 47048387, 33069847, 236573, 5625640, 3279728, 10579085, 52014686, 44137874, 51676708, 50714180, 37049778, 53720250, 23875703, 275388, 1846593, 33777, 4678428, 6678, 46263132, 36205810, 8727319, 737610, 3474408, 22044074, 17430047, 851060, 20355828, 22345050, 5740890, 113180, 2676271, 895672, 49876887, 45049201, 43590845, 49538597, 536789, 1519473, 23416702, 8526165, 1467938, 2352562, 54435831, 44444481, 4699587, 4269567, 9369613, 1419205, 76940, 178449, 53984662, 17862013, 583254, 755842, 42497710, 11503984, 5141410, 3304092, 53920285, 31752133, 31804256, 53874996, 54329819, 53903332, 31903693, 5205615, 20777185, 38928070, 52390011, 24727796, 300591, 24243398, 51058554, 47079044, 22078621, 19600264, 1136673, 52243894]","[0.99036538600921631, 0.99010652303695679, 0.9899982213973999, 0.98956847190856934, 0.98940718173980713, 0.98927605152130127, 0.98835659027099609, 0.98835659027099609, 0.98835659027099609, 0.98835659027099609, 0.98835659027099609, 0.98835659027099609, 0.98632997274398804, 0.95075446367263794, 0.94014406204223633, 0.88696169853210449, 0.88671767711639404, 0.88528871536254883, 0.87193667888641357, 0.86802667379379272, 0.86603826284408569, 0.8450426459312439, 0.82968634366989136, 0.81833893060684204, 0.81295084953308105, 0.75977128744125366, 0.75164490938186646, 0.73490208387374878, 0.64389008283615112, 0.63174283504486084, 0.60053098201751709, 0.56352442502975464, 0.53088086843490601, 0.51719766855239868, 0.50954854488372803, 0.42937129735946655, 0.41435310244560242, 0.38259813189506531, 0.37876990437507629, 0.35731488466262817, 0.34449982643127441, 0.3261396586894989, 0.31371819972991943, 0.31271615624427795, 0.28454846143722534, 0.25317919254302979, 0.22734139859676361, 0.19981524348258972, 0.16499273478984833, 0.15251433849334717, 0.13973157107830048, 0.12910632789134979, 0.1186603382229805, 0.089637733995914459, 0.08141075074672699, 0.080859877169132233, 0.0760049968957901, 0.067542165517807007, 0.067542165517807007, 0.067542165517807007, 0.067542165517807007, 0.067542165517807007, 0.067542165517807007, 0.067542165517807007, 0.065768472850322723, 0.064935676753520966, 0.064799144864082336, 0.062372729182243347, 0.058427784591913223, 0.053703822195529938, 0.052208095788955688, 0.034385092556476593, 0.025432722643017769, 0.024143416434526443, 0.005549959372729063, 0.0046026469208300114, 0.0021328877191990614, 0.0013664124999195337, 0.0010943000670522451]"
17430047,"[4678428, 36205810, 33777, 6678, 22345050, 5740890, 2676271, 3474408, 20355828, 1846593, 236573, 33069847, 49538597, 66365, 4020758, 43590845, 47048387, 8526165, 2352562, 5625640, 3279728, 10579085, 37049778, 51676708, 50714180, 44137874, 52014686, 53720250, 23875703, 275388, 4269567, 22044074, 9369613, 851060, 46263132, 8727319, 76940, 895672, 737610, 17862013, 53984662, 23416702, 31752133, 54329819, 31804256, 3304092, 53920285, 53874996, 5141410, 53903332, 31903693, 5205615, 38928070, 11503984, 113180, 52390011, 1419205, 49876887, 45049201, 4699587, 20777185, 1519473, 536789, 1467938, 44444481, 32912733, 54435831, 24243398, 51058554, 755842, 178449, 583254, 42497710, 24727796, 300591, 47079044, 22078621, 19600264, 1136673, 52243894]","[0.91703581809997559, 0.90646010637283325, 0.90533095598220825, 0.89996832609176636, 0.89668798446655273, 0.89269042015075684, 0.86704564094543457, 0.83251512050628662, 0.81466817855834961, 0.79148209095001221, 0.79069703817367554, 0.78559410572052002, 0.78186029195785522, 0.77951931953430176, 0.75977128744125366, 0.75455385446548462, 0.75321322679519653, 0.74955648183822632, 0.73988670110702515, 0.73960012197494507, 0.73815560340881348, 0.72942382097244263, 0.72942382097244263, 0.72942382097244263, 0.72942382097244263, 0.72942382097244263, 0.72942382097244263, 0.72792810201644897, 0.70167279243469238, 0.69384217262268066, 0.6860005259513855, 0.66668093204498291, 0.65980380773544312, 0.64761334657669067, 0.64061832427978516, 0.63868296146392822, 0.63580936193466187, 0.63330692052841187, 0.61232250928878784, 0.6120753288269043, 0.59126752614974976, 0.58332568407058716, 0.57505464553833008, 0.57505464553833008, 0.57505464553833008, 0.57505464553833008, 0.57505464553833008, 0.57505464553833008, 0.57505464553833008, 0.55995339155197144, 0.55286294221878052, 0.55170059204101562, 0.49745473265647888, 0.46612125635147095, 0.46006268262863159, 0.45723485946655273, 0.42216375470161438, 0.38170060515403748, 0.37605541944503784, 0.36127007007598877, 0.36113250255584717, 0.34922319650650024, 0.28236386179924011, 0.28140503168106079, 0.27063816785812378, 0.26896363496780396, 0.23078979551792145, 0.21653443574905396, 0.20555728673934937, 0.19664788246154785, 0.15009917318820953, 0.13167379796504974, 0.091915175318717957, 0.060402441769838333, 0.05864793062210083, 0.047252409160137177, 0.039186976850032806, 0.018159426748752594, 0.011633649468421936, 0.0093168811872601509]"
2676271,"[5740890, 22345050, 49538597, 2352562, 8526165, 4269567, 43590845, 9369613, 76940, 17862013, 4678428, 36205810, 17430047, 3304092, 31804256, 53874996, 53920285, 5141410, 54329819, 31752133, 6678, 33777, 53984662, 53903332, 31903693, 5205615, 20355828, 3474408, 38928070, 23416702, 52390011, 11503984, 1846593, 895672, 236573, 33069847, 66365, 4020758, 1419205, 47048387, 851060, 5625640, 20777185, 22044074, 3279728, 51676708, 50714180, 10579085, 37049778, 44137874, 52014686, 53720250, 23875703, 275388, 8727319, 46263132, 737610, 4699587, 113180, 24243398, 51058554, 1519473, 49876887, 45049201, 755842, 44444481, 1467938, 536789, 54435831, 583254, 178449, 42497710, 47079044, 300591, 24727796, 22078621, 19600264, 1136673, 52243894]","[0.99602466821670532, 0.99451696872711182, 0.96136224269866943, 0.95995867252349854, 0.95541602373123169, 0.93073248863220215, 0.90889984369277954, 0.90725916624069214, 0.8999064564704895, 0.88434988260269165, 0.87183558940887451, 0.86757147312164307, 0.86704564094543457, 0.85900378227233887, 0.85900378227233887, 0.85900378227233887, 0.85900378227233887, 0.85900378227233887, 0.85900378227233887, 0.85900378227233887, 0.85360813140869141, 0.85255545377731323, 0.84501218795776367, 0.83644586801528931, 0.82585436105728149, 0.82411795854568481, 0.8075377345085144, 0.78210139274597168, 0.74308675527572632, 0.7029603123664856, 0.68300718069076538, 0.68266689777374268, 0.67376995086669922, 0.65364986658096313, 0.60682219266891479, 0.59854048490524292, 0.58877396583557129, 0.56352442502975464, 0.55670398473739624, 0.54766547679901123, 0.53470510244369507, 0.52675437927246094, 0.52667027711868286, 0.52535802125930786, 0.52457189559936523, 0.51146060228347778, 0.51146060228347778, 0.51146060228347778, 0.51146060228347778, 0.51146060228347778, 0.51146060228347778, 0.51041185855865479, 0.49237653613090515, 0.48651129007339478, 0.46087539196014404, 0.46010240912437439, 0.42935100197792053, 0.40468138456344604, 0.33722078800201416, 0.32345432043075562, 0.30705687403678894, 0.30534344911575317, 0.26764249801635742, 0.26368418335914612, 0.25640031695365906, 0.24238878488540649, 0.23264437913894653, 0.19798913598060608, 0.16182620823383331, 0.14918674528598785, 0.14601287245750427, 0.092427268624305725, 0.070584595203399658, 0.06999632716178894, 0.06133415549993515, 0.058536633849143982, 0.027126146480441093, 0.017378086224198341, 0.013917349278926849]"
22044074,"[20355828, 236573, 33069847, 66365, 47048387, 5625640, 3279728, 52014686, 51676708, 50714180, 44137874, 10579085, 37049778, 4020758, 53720250, 23875703, 275388, 4678428, 33777, 6678, 36205810, 1846593, 46263132, 3474408, 8727319, 737610, 17430047, 851060, 22345050, 5740890, 2676271, 113180, 895672, 49876887, 45049201, 43590845, 49538597, 8526165, 23416702, 2352562, 1519473, 536789, 1467938, 4269567, 54435831, 44444481, 9369613, 4699587, 76940, 1419205, 53984662, 17862013, 31804256, 54329819, 53874996, 5141410, 31752133, 53920285, 3304092, 53903332, 31903693, 5205615, 178449, 11503984, 38928070, 52390011, 20777185, 755842, 583254, 42497710, 24243398, 24727796, 51058554, 300591, 47079044, 22078621, 19600264, 1136673, 52243894]","[0.9139525294303894, 0.82305395603179932, 0.82267099618911743, 0.82211065292358398, 0.81834733486175537, 0.81599104404449463, 0.81569981575012207, 0.81384789943695068, 0.81384789943695068, 0.81384789943695068, 0.81384789943695068, 0.81384789943695068, 0.81384789943695068, 0.81295084953308105, 0.8121790885925293, 0.78288495540618896, 0.77414798736572266, 0.76482367515563965, 0.76426571607589722, 0.75284850597381592, 0.74946582317352295, 0.74896508455276489, 0.71476393938064575, 0.70492172241210938, 0.69788098335266113, 0.68319320678710938, 0.66668093204498291, 0.63155853748321533, 0.58750063180923462, 0.57817339897155762, 0.52535802125930786, 0.49679067730903625, 0.46997776627540588, 0.42587894201278687, 0.4195803701877594, 0.41305840015411377, 0.40591078996658325, 0.35100793838500977, 0.33767643570899963, 0.32743501663208008, 0.32136580348014832, 0.31504487991333008, 0.27408906817436218, 0.25764986872673035, 0.25750160217285156, 0.24255050718784332, 0.23418423533439636, 0.23218807578086853, 0.19671875238418579, 0.17669804394245148, 0.1737370640039444, 0.16901218891143799, 0.12701557576656342, 0.12701557576656342, 0.12701557576656342, 0.12701557576656342, 0.12701557576656342, 0.12701557576656342, 0.12701557576656342, 0.12368007749319077, 0.12211397290229797, 0.12185722589492798, 0.1214459016919136, 0.11832622438669205, 0.1098756417632103, 0.10099204629659653, 0.094196021556854248, 0.085601784288883209, 0.082717917859554291, 0.070965632796287537, 0.047827187925577164, 0.04596337303519249, 0.045402601361274719, 0.032836928963661194, 0.010436907410621643, 0.0086554503068327904, 0.0040109753608703613, 0.0025695899967104197, 0.0020578724797815084]"
19282291,[44444481],[0.093126930296421051]
