,similar_articles,scores
1467938,"[54329819, 583254, 53874996, 11159584, 24727796, 1846593, 52390011, 3304092, 53984662, 76940, 8526165, 36205810, 236573, 47048387, 33777, 755842, 23416702, 5625640, 1519473, 8886648, 3279728, 6678, 851060, 9369613, 17862013, 22044074]","[0.99218547344207764, 0.98930329084396362, 0.96718931198120117, 0.916465163230896, 0.86890560388565063, 0.67483329772949219, 0.53311538696289062, 0.39106199145317078, 0.25194817781448364, 0.22083303332328796, 0.11276429891586304, 0.10160060226917267, 0.048995416611433029, 0.03796861320734024, 0.030039321631193161, 0.028549551963806152, 0.02846045233309269, 0.024901127442717552, 0.02138216607272625, 0.021082783117890358, 0.020146006718277931, 0.016816431656479836, 0.016122641041874886, 0.014515229500830173, 0.01261946652084589, 0.011220525018870831]"
275388,"[53286797, 21303741, 17862013, 9369613, 4269567, 5740890, 20355828, 5141410, 20777185, 33069847, 8526165, 236573, 1519473, 53903332, 6678, 1846593, 31903693, 2676271, 1505145, 33777, 113180, 36205810, 4699587, 52014686, 8727319, 53984662, 76940, 3279728, 23416702, 5625640, 19282291, 43590845, 47048387, 3474408, 1419205, 2352562, 755842, 4020758, 3304092, 851060, 52390011, 37049778, 10579085, 895672, 49538597, 300591, 583254]","[0.27073585987091064, 0.27073585987091064, 0.27044618129730225, 0.26993337273597717, 0.2668202817440033, 0.26557320356369019, 0.26501819491386414, 0.24560056626796722, 0.23838169872760773, 0.21925751864910126, 0.19467589259147644, 0.18718276917934418, 0.1762259304523468, 0.14375600218772888, 0.10779590904712677, 0.081689983606338501, 0.081387028098106384, 0.075826875865459442, 0.067549765110015869, 0.065766870975494385, 0.063062436878681183, 0.06081414595246315, 0.052066352218389511, 0.047877144068479538, 0.047295767813920975, 0.046771496534347534, 0.033320333808660507, 0.031065499410033226, 0.027940647676587105, 0.024888390675187111, 0.021543847396969795, 0.014727356843650341, 0.014534756541252136, 0.013895529322326183, 0.012414520606398582, 0.0091831684112548828, 0.0090494053438305855, 0.0085657099261879921, 0.0084203910082578659, 0.0071764900349080563, 0.0067396280355751514, 0.0064505557529628277, 0.0053136618807911873, 0.0046498109586536884, 0.0044809239916503429, 0.0044302362948656082, 0.0033252057619392872]"
2352562,"[113180, 3474408, 54356603, 22078621, 32912733, 52243894, 6678, 46263132, 4678428, 36205810, 49538597, 1519473, 11503984, 23875703, 895672, 8526165, 52390011, 4269567, 23416702, 1419205, 236573, 5740890, 9369613, 4699587, 5625640, 5141410, 17862013, 33777, 33069847, 76940, 3279728, 21303741, 53286797, 20355828, 20777185, 53984662, 2676271, 54329819, 1846593, 755842, 53903332, 737610, 37049778, 583254, 43590845, 37042447, 3304092, 31903693, 52014686, 275388, 1505145, 24727796, 8727319, 24243398, 178449, 66365, 19282291, 47048387, 4020758, 851060, 10579085, 300591]","[0.21731588244438171, 0.21717408299446106, 0.21571749448776245, 0.21571749448776245, 0.21571749448776245, 0.21374012529850006, 0.21048812568187714, 0.2071329802274704, 0.20596249401569366, 0.203011155128479, 0.19624479115009308, 0.18556973338127136, 0.18176630139350891, 0.167488694190979, 0.16506156325340271, 0.16178664565086365, 0.069681107997894287, 0.069043956696987152, 0.063441500067710876, 0.061702895909547806, 0.052445255219936371, 0.051819190382957458, 0.050117526203393936, 0.048316698521375656, 0.046399299055337906, 0.04592445120215416, 0.043480705469846725, 0.040826007723808289, 0.038527704775333405, 0.037083938717842102, 0.036291509866714478, 0.033919289708137512, 0.033919289708137512, 0.033202949911355972, 0.032834835350513458, 0.03042672760784626, 0.028287734836339951, 0.026915479451417923, 0.019311852753162384, 0.018403731286525726, 0.018010549247264862, 0.017120495438575745, 0.015449515543878078, 0.014958000741899014, 0.011616455391049385, 0.010672968812286854, 0.010395010933279991, 0.010196618735790253, 0.01008580531924963, 0.0091831684112548828, 0.0084630092605948448, 0.0076757003553211689, 0.0059254760853946209, 0.0044769891537725925, 0.0039543425664305687, 0.0039442959241569042, 0.0026991325430572033, 0.0018209948902949691, 0.0010731596266850829, 0.00089911045506596565, 0.00066572503419592977, 0.00055504456395283341]"
17021807,"[24243398, 52014686, 54435831, 42614451, 300591, 53920285, 51676708, 5205615, 851060, 7321359, 5625640, 33777, 42614454, 755842, 4020758, 236573, 53903332, 46263132, 22345050, 5740890, 43590845, 49538597, 583254, 45049201, 2676271, 17430047, 23416702, 113180, 19600264, 3304092, 51058554, 1419205, 895672, 53874996, 4699587, 53984662, 52243894, 6678, 76940, 4269567, 3279728]","[0.80954229831695557, 0.53361952304840088, 0.42876562476158142, 0.42876562476158142, 0.4166257381439209, 0.39380085468292236, 0.39380085468292236, 0.3712504506111145, 0.28617498278617859, 0.27605456113815308, 0.26875349879264832, 0.24973858892917633, 0.23498749732971191, 0.23411896824836731, 0.21778152883052826, 0.14744164049625397, 0.14055369794368744, 0.11909014731645584, 0.11230305582284927, 0.077532157301902771, 0.056469131261110306, 0.052841249853372574, 0.050713349133729935, 0.047834362834692001, 0.045271608978509903, 0.044963661581277847, 0.044669158756732941, 0.04408055916428566, 0.035939730703830719, 0.034658942371606827, 0.03253457322716713, 0.029126416891813278, 0.025351947173476219, 0.024873301386833191, 0.018514163792133331, 0.013394908979535103, 0.011699723079800606, 0.01150803454220295, 0.010226142592728138, 0.0074447672814130783, 0.0062898583710193634]"
20777185,"[53286797, 21303741, 17862013, 9369613, 4269567, 5740890, 20355828, 5141410, 33069847, 8526165, 236573, 1519473, 34442389, 53903332, 6678, 1846593, 31903693, 2676271, 275388, 1505145, 113180, 33777, 36205810, 4699587, 52014686, 8727319, 53984662, 76940, 3279728, 23416702, 5625640, 19282291, 3474408, 43590845, 47048387, 1419205, 2352562, 755842, 3304092, 4020758, 49538597, 52390011, 895672, 851060, 37049778, 10579085, 300591, 54356603, 22078621, 32912733, 52243894, 46263132, 4678428, 583254, 11503984, 23875703, 54329819, 737610, 37042447, 24727796, 24243398, 178449, 66365]","[0.88049548864364624, 0.88049548864364624, 0.88016575574874878, 0.87892556190490723, 0.87003350257873535, 0.86488872766494751, 0.86190032958984375, 0.79971659183502197, 0.71378153562545776, 0.64189738035202026, 0.61061149835586548, 0.58355873823165894, 0.47385472059249878, 0.46752768754959106, 0.36314544081687927, 0.26625382900238037, 0.26468941569328308, 0.24780522286891937, 0.23838169872760773, 0.21968741714954376, 0.21845509111881256, 0.21596817672252655, 0.21024841070175171, 0.17199838161468506, 0.1559683233499527, 0.15381675958633423, 0.15367916226387024, 0.1104651615023613, 0.10309938341379166, 0.094693899154663086, 0.083704300224781036, 0.070065557956695557, 0.058936949819326401, 0.048520214855670929, 0.047270383685827255, 0.04421253502368927, 0.032834835350513458, 0.030532646924257278, 0.027980986982584, 0.027857664972543716, 0.027058366686105728, 0.026310879737138748, 0.025616662576794624, 0.02333960123360157, 0.021912872791290283, 0.017281254753470421, 0.014408149756491184, 0.013763622380793095, 0.013763622380793095, 0.013763622380793095, 0.013637457974255085, 0.013215896673500538, 0.013141214847564697, 0.01174213457852602, 0.011597402393817902, 0.010686435736715794, 0.0017173130763694644, 0.0010923547670245171, 0.00068097730400040746, 0.00048973981756716967, 0.00028564946842379868, 0.00025230256142094731, 0.00025166154955513775]"
4020758,"[21682560, 236573, 51676708, 53920285, 5205615, 17021807, 53903332, 5740890, 583254, 22345050, 3304092, 51058554, 23416702, 53874996, 21303741, 53286797, 17862013, 9369613, 4269567, 20355828, 5141410, 20777185, 33069847, 8526165, 1519473, 17430047, 31804256, 4699587, 6678, 3279728, 1846593, 31903693, 2676271, 275388, 1505145, 33777, 113180, 36205810, 11159584, 52014686, 8727319, 53984662, 76940, 5625640, 19282291, 43590845, 47048387, 3474408, 1419205, 2352562, 755842, 851060, 52390011, 37049778, 10579085, 895672, 49538597, 300591]","[0.83241522312164307, 0.57090765237808228, 0.5530245304107666, 0.5530245304107666, 0.52135640382766724, 0.21778152883052826, 0.21418267488479614, 0.10664547979831696, 0.071606636047363281, 0.070372529327869415, 0.049656450748443604, 0.045689128339290619, 0.034964650869369507, 0.034930210560560226, 0.031638622283935547, 0.031638622283935547, 0.031604770570993423, 0.031544841825962067, 0.031181043013930321, 0.03097044862806797, 0.028701271861791611, 0.027857664972543716, 0.025622781366109848, 0.022750133648514748, 0.020594041794538498, 0.019137298688292503, 0.015739290043711662, 0.014864704571664333, 0.012597201392054558, 0.012463371269404888, 0.0095464205369353294, 0.0095110172405838966, 0.0088612493127584457, 0.0085657099261879921, 0.0078939730301499367, 0.007685620803385973, 0.0073695764876902103, 0.0071068373508751392, 0.0062975171022117138, 0.0055949990637600422, 0.0055270586162805557, 0.0054657910950481892, 0.0038938671350479126, 0.0029084968846291304, 0.0025176480412483215, 0.0017210623482242227, 0.0016985547263175249, 0.001623853575438261, 0.0014507805462926626, 0.0010731596266850829, 0.0010575278429314494, 0.00083865603664889932, 0.00078760366886854172, 0.00075382221257314086, 0.00062096299370750785, 0.0005433842889033258, 0.00052364787552505732, 0.00051772443111985922]"
17430047,"[44137874, 31752133, 42498898, 2676271, 37049778, 22072677, 51511707, 1505145, 3304092, 895672, 33069847, 17021807, 22345050, 24243398, 4678428, 49538597, 38928070, 53874996, 53920285, 51676708, 23416702, 5205615, 52014686, 4020758, 178449, 53903332, 236573, 53984662, 76940, 47048387, 5740890, 583254, 536789, 51058554, 113180, 3279728, 4699587]","[0.98924785852432251, 0.98924785852432251, 0.98924785852432251, 0.94254928827285767, 0.18579015135765076, 0.13605964183807373, 0.13470622897148132, 0.13175657391548157, 0.12748497724533081, 0.084510631859302521, 0.075959332287311554, 0.044963661581277847, 0.04222344234585762, 0.040684055536985397, 0.040452852845191956, 0.036922391504049301, 0.036037616431713104, 0.034873586148023605, 0.034604791551828384, 0.034604791551828384, 0.03265882283449173, 0.032623201608657837, 0.026637867093086243, 0.019137298688292503, 0.014235583133995533, 0.012350993230938911, 0.0083552524447441101, 0.0078047830611467361, 0.005153370089828968, 0.0050756689161062241, 0.0047312085516750813, 0.0044563766568899155, 0.004329244140535593, 0.0028589379508048296, 0.0023617367260158062, 0.00055271398741751909, 0.00054940633708611131]"
2676271,"[44137874, 42498898, 31752133, 17430047, 5141410, 4269567, 9369613, 17862013, 5740890, 21303741, 53286797, 20355828, 8526165, 1519473, 20777185, 33069847, 236573, 6678, 37049778, 53903332, 36205810, 113180, 31903693, 3474408, 52014686, 1846593, 22078621, 32912733, 54356603, 52243894, 895672, 23416702, 49538597, 46263132, 4678428, 33777, 275388, 11503984, 4699587, 1505145, 8727319, 23875703, 24243398, 53984662, 76940, 3279728, 17021807, 5625640, 1419205, 52390011, 755842, 2352562, 22345050, 47079044, 19282291, 42614454, 43590845, 178449, 47048387, 3304092, 54329819, 583254, 4020758, 851060, 737610, 300591, 10579085, 37042447, 24727796, 66365]","[0.95034193992614746, 0.95034193992614746, 0.95034193992614746, 0.94254928827285767, 0.29323723912239075, 0.29173538088798523, 0.28582727909088135, 0.28365227580070496, 0.28222423791885376, 0.28007695078849792, 0.28007695078849792, 0.27416202425956726, 0.25686541199684143, 0.24831435084342957, 0.24780522286891937, 0.24534313380718231, 0.2109147310256958, 0.19470742344856262, 0.19141343235969543, 0.16770464181900024, 0.1605679839849472, 0.15319982171058655, 0.10251086950302124, 0.10135427862405777, 0.089663133025169373, 0.088173374533653259, 0.087094105780124664, 0.087094105780124664, 0.087094105780124664, 0.086295761168003082, 0.085173502564430237, 0.08398139476776123, 0.083641029894351959, 0.083628185093402863, 0.083155602216720581, 0.082110866904258728, 0.075826875865459442, 0.073386594653129578, 0.072542600333690643, 0.069880403578281403, 0.06809079647064209, 0.067622140049934387, 0.060583937913179398, 0.059003893285989761, 0.047756854444742203, 0.045740172266960144, 0.045271608978509903, 0.043221496045589447, 0.03712690994143486, 0.034764409065246582, 0.030734946951270103, 0.028287734836339951, 0.024880910292267799, 0.024707159027457237, 0.022287165746092796, 0.020661963149905205, 0.019180580973625183, 0.015272246673703194, 0.015036243945360184, 0.012481885030865669, 0.010866896249353886, 0.0093109011650085449, 0.0088612493127584457, 0.0074240975081920624, 0.0072297649458050728, 0.0064280661754310131, 0.00549699692055583, 0.0043091205880045891, 0.0030989989172667265, 0.0015924760373309255]"
22044074,"[1467938, 54329819, 583254, 53874996, 11159584, 24727796, 1846593, 52390011, 3304092, 53984662, 76940, 8526165, 36205810, 236573, 47048387, 33777, 755842, 23416702, 5625640, 1519473, 8886648, 3279728, 6678, 851060, 9369613, 17862013]","[0.011220525018870831, 0.011132841929793358, 0.01110050268471241, 0.010852372273802757, 0.010283220559358597, 0.0097495773807168007, 0.0075719840824604034, 0.0059818346053361893, 0.0043879207223653793, 0.0028269907925277948, 0.0024778626393526793, 0.0012652745936065912, 0.0011400120565667748, 0.00054975430248305202, 0.00042602777830325067, 0.00033705696114338934, 0.00032034097239375114, 0.00031934122671373188, 0.00027940372820012271, 0.000239919128944166, 0.00023655989207327366, 0.00022604876721743494, 0.00018868919869419187, 0.00018090449157170951, 0.00016286849859170616, 0.00014159703277982771]"
19282291,"[1136673, 76940, 53286797, 21303741, 17862013, 9369613, 4269567, 5740890, 20355828, 5141410, 20777185, 33069847, 8526165, 236573, 53874996, 1519473, 53903332, 53984662, 6678, 1846593, 31903693, 2676271, 275388, 1505145, 33777, 113180, 36205810, 4699587, 52014686, 8727319, 3279728, 23416702, 5625640, 43590845, 47048387, 3474408, 1419205, 2352562, 755842, 4020758, 3304092, 851060, 52390011, 37049778, 10579085, 895672, 49538597, 300591, 583254]","[0.99682885408401489, 0.96113002300262451, 0.079575151205062866, 0.079575151205062866, 0.079490005970001221, 0.079339280724525452, 0.078424282371997833, 0.078057736158370972, 0.077894605696201324, 0.072187341749668121, 0.070065557956695557, 0.064444549381732941, 0.057219475507736206, 0.055017083883285522, 0.053093716502189636, 0.051796630024909973, 0.042253013700246811, 0.041832044720649719, 0.031683560460805893, 0.024010460823774338, 0.023921417072415352, 0.022287165746092796, 0.021543847396969795, 0.019854342564940453, 0.019330311566591263, 0.018535420298576355, 0.017874598503112793, 0.015303432010114193, 0.014072133228182793, 0.013901254162192345, 0.0091308252885937691, 0.0082123633474111557, 0.0073152389377355576, 0.0043286904692649841, 0.0042720809578895569, 0.0040841978043317795, 0.0036488971672952175, 0.0026991325430572033, 0.0026598169934004545, 0.0025176480412483215, 0.0024749357253313065, 0.0021093264222145081, 0.0019809231162071228, 0.0018959585577249527, 0.00156180071644485, 0.0013666803715750575, 0.0013170408783480525, 0.0013021426275372505, 0.00097735028248280287]"
