,similar_articles,scores
970284,"[22345050, 17430047, 51676708, 729436, 970251, 37331361, 970360, 704388, 32122845, 1396693]","[0.36768987774848938, 0.36088433861732483, 0.34451672434806824, 0.3257453441619873, 0.29628589749336243, 0.27080750465393066, 0.25706842541694641, 0.23814877867698669, 0.23295235633850098, 0.20278154313564301]"
972913,"[977022, 11037163, 50899941, 1968414, 53984662, 36205810, 4269567, 710421, 2558456, 24243398]","[0.96357101202011108, 0.81860226392745972, 0.20598216354846954, 0.1800161749124527, 0.14357854425907135, 0.14216884970664978, 0.13346371054649353, 0.13159532845020294, 0.12008657306432724, 0.11944948881864548]"
970251,"[39353382, 34921437, 970284, 704388, 970360, 37331361, 729436, 691500, 53874996, 1777080]","[0.8874284029006958, 0.31814265251159668, 0.29628589749336243, 0.23230506479740143, 0.21551598608493805, 0.16124682128429413, 0.15652936697006226, 0.10975199192762375, 0.089838325977325439, 0.076871156692504883]"
729436,"[970284, 704388, 50899941, 1968414, 970251, 970360, 17430047, 37331361, 693519, 27545231]","[0.3257453441619873, 0.209249347448349, 0.19172243773937225, 0.16644175350666046, 0.15652936697006226, 0.14374136924743652, 0.1302788257598877, 0.12838238477706909, 0.11750058084726334, 0.11286197602748871]"
978163,"[978165, 32437215, 43220839, 51511707, 37104213, 34561692, 32401760, 710421, 1765233, 691500]","[0.96303397417068481, 0.35021376609802246, 0.19761410355567932, 0.16810381412506104, 0.14580416679382324, 0.12439019978046417, 0.11747052520513535, 0.10301853716373444, 0.10194999724626541, 0.10164439678192139]"
1764821,"[8174570, 50899941, 54435831, 2558456, 710421, 236573, 31823444, 47186850, 32437215, 1765233]","[0.98046880960464478, 0.11036279797554016, 0.081084452569484711, 0.076050914824008942, 0.069622114300727844, 0.054069366306066513, 0.052126605063676834, 0.049756083637475967, 0.048081152141094208, 0.046906672418117523]"
1765233,"[16566346, 44205344, 1765458, 17430047, 5740890, 691500, 50899941, 710421, 17021807, 1396693]","[0.91296404600143433, 0.59858149290084839, 0.35089579224586487, 0.30653619766235352, 0.27032756805419922, 0.23565049469470978, 0.21357472240924835, 0.1996341347694397, 0.19847390055656433, 0.17554587125778198]"
1765458,"[49528720, 47186850, 1765233, 31823444, 16566346, 31823494, 693519, 19282291, 20777185, 52014686]","[0.43141412734985352, 0.40318968892097473, 0.35089579224586487, 0.30412796139717102, 0.27818557620048523, 0.23105187714099884, 0.21919810771942139, 0.1729537695646286, 0.16136074066162109, 0.14445775747299194]"
1467938,"[8886648, 51676708, 22345050, 17430047, 37331361, 17021807, 24243398, 275388, 4269567, 36205810]","[0.7551841139793396, 0.59661328792572021, 0.36962977051734924, 0.31402593851089478, 0.27196219563484192, 0.17548681795597076, 0.1648186594247818, 0.14762701094150543, 0.13766323029994965, 0.13471870124340057]"
275388,"[113180, 14981609, 22345050, 17430047, 22078621, 4269567, 17021807, 970360, 17862013, 3304092]","[0.40156316757202148, 0.38677731156349182, 0.3595162034034729, 0.3593672513961792, 0.34504562616348267, 0.31066423654556274, 0.31030195951461792, 0.30976229906082153, 0.30356693267822266, 0.30170881748199463]"
